0.6427,0.3386,0.5101,0,140,160,255,positively charged molecule;C14H14N2;name unknown
0.6651,0.2760,0.5821,0,140,160,255,positively charged molecule;C32H44ClEuN8;name unknown
0.6747,0.5124,0.5995,0,140,160,255,negatively charged molecule;C6BrF4O;4-bromo-2-3-5-6-tetrafluorophenolate
0.5821,0.3221,0.5424,0,140,160,255,positively charged molecule;C42H40N2NaO6;name unknown
0.2673,0.8189,0.7657,0,140,160,255,uncharged molecule;C27H22O2;4-[9-(4-hydroxy-3-methylphenyl)fluoren-9-yl]-2-methylphenol
0.7447,0.4518,0.4165,0,140,160,255,negatively charged molecule;"O#C[Os]12(C#O)(C#O)...;name unknown
0.7308,0.3319,0.5967,0,140,160,255,positively charged molecule;C18H15ClNO;name unknown
0.7714,0.4130,0.2390,0,140,160,255,negatively charged molecule;C4H8Cl5OZr;name unknown
0.2299,0.7891,0.8084,0,140,160,255,uncharged molecule;C12H16N2O4;name unknown
0.2110,0.7954,0.7829,0,140,160,255,uncharged molecule;C23H26N2O4;name unknown
0.6495,0.3394,0.5679,0,140,160,255,positively charged molecule;C25H17F5P;(2-3-4-5-6-pentafluorophenyl)methyl-tri(phenyl)phosphanium
0.2438,0.8824,0.7582,0,140,160,255,uncharged molecule;C72H50N2;name unknown
0.3173,0.7336,0.7929,0,140,160,255,uncharged molecule;C14H12N2O2;name unknown
0.6916,0.5870,0.7367,0,140,160,255,positively charged molecule;C2H7N6;name unknown
0.3306,0.7502,0.7901,0,140,160,255,uncharged molecule;"Cl[Re]1(C#O)(C#O)(C...;name unknown
0.2192,0.7831,0.7109,0,140,160,255,uncharged molecule;C44H30N4;name unknown
0.7591,0.4722,0.5641,0,140,160,255,positively charged molecule;C11H11N3O;name unknown
0.6903,0.2672,0.5691,0,140,160,255,positively charged molecule;"CC#N[Cu+]1(N#CC)[P]...;name unknown
0.6355,0.4698,0.5138,0,140,160,255,positively charged molecule;C8H12N;1-2-4-trimethylpyridin-1-ium
0.7522,0.4834,0.6631,0,140,160,255,positively charged molecule;C9H14N;3-phenylpropylazanium
0.7104,0.4465,0.6143,0,140,160,255,negatively charged molecule;C6Cl2O4;2-5-dichloro-3-6-dioxocyclohexa-1-4-diene-1-4-diolate
0.2471,0.8762,0.7293,0,140,160,255,uncharged molecule;C64H54P2Ru2S10;name unknown
0.6963,0.4888,0.7068,0,140,160,255,positively charged molecule;C8H12NO;name unknown
0.2297,0.6957,0.8209,0,140,160,255,uncharged molecule;C24H12FeN2;name unknown
0.6911,0.3620,0.4535,0,140,160,255,negatively charged molecule;"O#C[V-](C#O)(C#O)(C...;name unknown
0.2146,0.7282,0.7727,0,140,160,255,uncharged molecule;C22H19N3O4;name unknown
0.1900,0.8164,0.7460,0,140,160,255,uncharged molecule;C5H8O2;5-methyloxolan-2-one
0.2456,0.6410,0.7187,0,140,160,255,uncharged molecule;C6F4I2;1-2-3-4-Tetrafluoro-5-6-diiodobenzene
0.6494,0.4544,0.6353,0,140,160,255,negatively charged molecule;CH2N5;name unknown
0.2608,0.6656,0.7629,0,140,160,255,uncharged molecule;C6H6N2O2;4-NitroanilineN-N-dihydroxybenzene-1-4-diamine
0.2814,0.7414,0.7346,0,140,160,255,uncharged molecule;C52H38N4O8;name unknown
0.2744,0.6884,0.8903,0,140,160,255,uncharged molecule;C18H22O5;name unknown
0.2207,0.8405,0.6817,0,140,160,255,uncharged molecule;"Cc12c3(C)c4(C)c5(C)...;name unknown
0.7143,0.4478,0.6957,0,140,160,255,positively charged molecule;"[NH3+]C1(CCCCC1)C#C...;name unknown
0.6697,0.4829,0.4902,0,140,160,255,negatively charged molecule;C24CuF20O4;name unknown
0.3548,0.6486,0.6400,0,140,160,255,uncharged molecule;C12H12;2-7-Dimethylnaphthalene
0.6996,0.2739,0.5883,0,140,160,255,positively charged molecule;C29H24ClN7Ru;name unknown
0.2332,0.7789,0.7436,0,140,160,255,uncharged molecule;C22H18O2;name unknown
0.7084,0.4541,0.6786,0,140,160,255,positively charged molecule;C8H12N;(4-methylphenyl)methylazanium
0.6917,0.4352,0.5593,0,140,160,255,positively charged molecule;C7H14N;1-azoniabicyclo[2.2.2]octane
0.7647,0.4602,0.5595,0,140,160,255,negatively charged molecule;Cl5Fe;name unknown
0.7172,0.3079,0.5615,0,140,160,255,positively charged molecule;C9H8OS6;name unknown
0.2909,0.8401,0.7915,0,140,160,255,uncharged molecule;C23H28N4O3;name unknown
0.2770,0.7208,0.6939,0,140,160,255,uncharged molecule;C8H10O2;1-4-Dimethoxybenzene
