0.610987,0.342766,0.440045,64,185,212,255,A1BG;1;alpha-1-B glycoprotein
0.595931,0.301585,0.434705,64,185,212,255,A1CF;29974;APOBEC1 complementation factor
0.574806,0.425985,0.561354,64,185,212,255,A2M;2;alpha-2-macroglobulin
0.560942,0.315197,0.492892,64,185,212,255,A2ML1;144568;alpha-2-macroglobulin like 1
0.763915,0.386406,0.743854,64,185,212,255,A4GALT;53947;alpha 1 -4-galactosyltransferase
0.710603,0.505061,0.641813,64,185,212,255,A4GNT;51146;alpha-1 -4-N-acetylglucosaminyltransferase
0.648405,0.498669,0.548512,64,185,212,255,AAAS;8086;aladin WD repeat nucleoporin
0.553071,0.806803,0.540184,64,185,212,255,AACS;65985;acetoacetyl-CoA synthetase
0.86723,0.180972,0.706795,64,185,212,255,AADAT;51166;aminoadipate aminotransferase
0.43235,0.794455,0.722536,64,185,212,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1
0.580876,0.634034,0.608331,64,185,212,255,AAGAB;79719;alpha- and gamma-adaptin binding protein
0.501283,0.66931,0.542315,64,185,212,255,AAK1;22848;AP2 associated kinase 1
0.340203,0.719888,0.603711,64,185,212,255,AAMDC;28971;adipogenesis associated Mth938 domain containing
0.486182,0.446411,0.542815,64,185,212,255,AAMP;14;angio associated migratory cell protein
0.286173,0.328615,0.563467,64,185,212,255,AANAT;15;aralkylamine N-acetyltransferase
0.625214,0.626709,0.449292,64,185,212,255,AAR2;25980;AAR2 splicing factor homolog
0.562675,0.573423,0.479942,64,185,212,255,AARS;16;alanyl-tRNA synthetase
0.695345,0.483821,0.48147,64,185,212,255,AARS2;57505;alanyl-tRNA synthetase 2 - mitochondrial
0.519604,0.518318,0.45909,64,185,212,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1
0.586246,0.795418,0.413624,64,185,212,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase
0.531078,0.604159,0.54676,64,185,212,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
0.689515,0.681794,0.389664,64,185,212,255,AASS;10157;aminoadipate-semialdehyde synthase
0.536085,0.496976,0.391409,64,185,212,255,AATF;26574;apoptosis antagonizing transcription factor
0.555643,0.480353,0.559766,64,185,212,255,AATK;9625;apoptosis associated tyrosine kinase
0.667059,0.588313,0.490321,64,185,212,255,ABAT;18;4-aminobutyrate aminotransferase
0.450599,0.524209,0.573446,64,185,212,255,ABCA1;19;ATP binding cassette subfamily A member 1
0.659008,0.292027,0.211133,64,185,212,255,ABCA10;10349;ATP binding cassette subfamily A member 10
0.217365,0.347905,0.692745,64,185,212,255,ABCA12;26154;ATP binding cassette subfamily A member 12
0.816896,0.43126,0.515332,64,185,212,255,ABCA13;154664;ATP binding cassette subfamily A member 13
0.654862,0.483809,0.599422,64,185,212,255,ABCA2;20;ATP binding cassette subfamily A member 2
0.656836,0.49257,0.754357,64,185,212,255,ABCA3;21;ATP binding cassette subfamily A member 3
0.432852,0.916134,0.216606,64,185,212,255,ABCA4;24;ATP binding cassette subfamily A member 4
0.553433,0.110203,0.50807,64,185,212,255,ABCA5;23461;ATP binding cassette subfamily A member 5
0.586049,0.07399,0.61731,64,185,212,255,ABCA6;23460;ATP binding cassette subfamily A member 6
0.776551,0.482775,0.584453,64,185,212,255,ABCA7;10347;ATP binding cassette subfamily A member 7
0.464136,0.179467,0.289262,64,185,212,255,ABCA9;10350;ATP binding cassette subfamily A member 9
0.533003,0.382593,0.53682,64,185,212,255,ABCB1;5243;ATP binding cassette subfamily B member 1
0.672928,0.537037,0.674237,64,185,212,255,ABCB10;23456;ATP binding cassette subfamily B member 10
0.254773,0.601074,0.679944,64,185,212,255,ABCB11;8647;ATP binding cassette subfamily B member 11
0.312969,0.481064,0.855629,64,185,212,255,ABCB4;5244;ATP binding cassette subfamily B member 4
0.763299,0.241518,0.515008,64,185,212,255,ABCB5;340273;ATP binding cassette subfamily B member 5
0.610154,0.474848,0.662996,64,185,212,255,ABCB6;10058;ATP binding cassette subfamily B member 6 (Langereis blood group)
0.696126,0.539339,0.487659,64,185,212,255,ABCB7;22;ATP binding cassette subfamily B member 7
0.670491,0.502283,0.677599,64,185,212,255,ABCB8;11194;ATP binding cassette subfamily B member 8
0.780824,0.447413,0.771683,64,185,212,255,ABCB9;23457;ATP binding cassette subfamily B member 9
0.645776,0.506997,0.53814,64,185,212,255,ABCC1;4363;ATP binding cassette subfamily C member 1
0.733183,0.57259,0.744494,64,185,212,255,ABCC10;89845;ATP binding cassette subfamily C member 10
0.746058,0.86413,0.362609,64,185,212,255,ABCC12;94160;ATP binding cassette subfamily C member 12
0.64411,0.535076,0.53677,64,185,212,255,ABCC2;1244;ATP binding cassette subfamily C member 2
0.783953,0.532219,0.568208,64,185,212,255,ABCC3;8714;ATP binding cassette subfamily C member 3
0.53987,0.546753,0.736468,64,185,212,255,ABCC4;10257;ATP binding cassette subfamily C member 4
0.748145,0.426661,0.458273,64,185,212,255,ABCC5;10057;ATP binding cassette subfamily C member 5
0.76117,0.300472,0.473308,64,185,212,255,ABCC6;368;ATP binding cassette subfamily C member 6
0.444504,0.737916,0.746669,64,185,212,255,ABCC8;6833;ATP binding cassette subfamily C member 8
0.553011,0.696344,0.726506,64,185,212,255,ABCC9;10060;ATP binding cassette subfamily C member 9
0.705768,0.564982,0.562641,64,185,212,255,ABCD1;215;ATP binding cassette subfamily D member 1
0.864932,0.598505,0.579219,64,185,212,255,ABCD2;225;ATP binding cassette subfamily D member 2
